[2026-06-11T22:20:35.219Z] GET http://localhost:8799/flags/cw/w80.png → pending (?ms, ?B)
[2026-06-11T22:20:35.219Z] GET http://localhost:8799/flags/ht/w80.png → pending (?ms, ?B)
[2026-06-11T22:20:35.220Z] GET http://localhost:8799/flags/nz/w80.png → pending (?ms, ?B)
[2026-06-11T22:20:35.573Z] GET http://localhost:8799/index.html → 200 (1ms, 547B)
[2026-06-11T22:20:35.576Z] GET http://localhost:8799/fonts.css → 200 (1ms, 7937B)
[2026-06-11T22:20:35.577Z] GET http://localhost:8799/app.css → 200 (?ms, 56432B)
[2026-06-11T22:20:35.577Z] GET http://localhost:8799/vendor/react.production.min.js → 200 (?ms, 10751B)
[2026-06-11T22:20:35.577Z] GET http://localhost:8799/vendor/react-dom.production.min.js → 200 (?ms, 131835B)
[2026-06-11T22:20:35.577Z] GET http://localhost:8799/config.js → 200 (?ms, 805B)
[2026-06-11T22:20:35.577Z] GET http://localhost:8799/app.bundle.js → 200 (?ms, 191829B)
[2026-06-11T22:20:35.584Z] GET http://localhost:8799/fonts/Barlow-400-2.woff2 → 200 (?ms, ?B)
[2026-06-11T22:20:35.584Z] GET http://localhost:8799/fonts/Barlow-500-5.woff2 → 200 (?ms, ?B)
[2026-06-11T22:20:35.584Z] GET http://localhost:8799/fonts/Barlow-600-8.woff2 → 200 (?ms, ?B)
[2026-06-11T22:20:35.584Z] GET http://localhost:8799/fonts/Barlow-700-11.woff2 → 200 (?ms, ?B)
[2026-06-11T22:20:35.584Z] GET http://localhost:8799/fonts/Barlow-800-14.woff2 → 200 (?ms, ?B)
[2026-06-11T22:20:35.584Z] GET http://localhost:8799/fonts/BarlowCondensed-700-20.woff2 → 200 (?ms, ?B)
[2026-06-11T22:20:35.584Z] GET http://localhost:8799/fonts/BarlowCondensed-800-23.woff2 → 200 (?ms, ?B)
[2026-06-11T22:20:35.595Z] GET http://localhost:8799/flags/de/w80.png → 200 (?ms, 105B)
[2026-06-11T22:20:35.596Z] GET http://localhost:8799/flags/cw/w80.png → 200 (?ms, 239B)
[2026-06-11T22:20:35.596Z] GET http://localhost:8799/flags/br/w80.png → 200 (?ms, 816B)
[2026-06-11T22:20:35.596Z] GET http://localhost:8799/flags/ma/w80.png → 200 (?ms, 304B)
[2026-06-11T22:20:35.596Z] GET http://localhost:8799/flags/ar/w80.png → 200 (?ms, 335B)
[2026-06-11T22:20:35.596Z] GET http://localhost:8799/flags/dz/w80.png → 200 (?ms, 399B)
[2026-06-11T22:20:35.602Z] GET http://localhost:8799/flags/de/w40.png → 200 (2ms, 99B)
[2026-06-11T22:20:35.602Z] GET http://localhost:8799/flags/br/w40.png → 200 (2ms, 452B)
[2026-06-11T22:20:35.603Z] GET http://localhost:8799/flags/ar/w40.png → 200 (2ms, 214B)
[2026-06-11T22:20:35.603Z] GET http://localhost:8799/flags/de/w160.png → 200 (2ms, 119B)
[2026-06-11T22:20:35.603Z] GET http://localhost:8799/flags/br/w160.png → 200 (2ms, 1226B)
[2026-06-11T22:20:35.603Z] GET http://localhost:8799/flags/ar/w160.png → 200 (2ms, 569B)
[2026-06-11T22:21:00.593Z] GET http://localhost:8799/index.html → 200 (2ms, 547B)
[2026-06-11T22:21:00.597Z] GET http://localhost:8799/fonts.css → 200 (?ms, 7937B)
[2026-06-11T22:21:00.597Z] GET http://localhost:8799/app.css → 304 (2ms, ?B)
[2026-06-11T22:21:00.597Z] GET http://localhost:8799/vendor/react.production.min.js → 200 (?ms, 10751B)
[2026-06-11T22:21:00.597Z] GET http://localhost:8799/vendor/react-dom.production.min.js → 200 (?ms, 131835B)
[2026-06-11T22:21:00.598Z] GET http://localhost:8799/config.js → 304 (1ms, ?B)
[2026-06-11T22:21:00.598Z] GET http://localhost:8799/app.bundle.js → 304 (2ms, ?B)
[2026-06-11T22:21:00.600Z] GET http://localhost:8799/fonts/Barlow-400-2.woff2 → 200 (?ms, ?B)
[2026-06-11T22:21:00.601Z] GET http://localhost:8799/fonts/Barlow-500-5.woff2 → 200 (?ms, ?B)
[2026-06-11T22:21:00.601Z] GET http://localhost:8799/fonts/Barlow-600-8.woff2 → 200 (?ms, ?B)
[2026-06-11T22:21:00.601Z] GET http://localhost:8799/fonts/Barlow-700-11.woff2 → 200 (?ms, ?B)
[2026-06-11T22:21:00.601Z] GET http://localhost:8799/fonts/Barlow-800-14.woff2 → 200 (?ms, ?B)
[2026-06-11T22:21:00.601Z] GET http://localhost:8799/fonts/BarlowCondensed-700-20.woff2 → 200 (?ms, ?B)
[2026-06-11T22:21:00.602Z] GET http://localhost:8799/fonts/BarlowCondensed-800-23.woff2 → 200 (?ms, ?B)
[2026-06-11T22:21:00.603Z] GET http://localhost:8799/flags/de/w40.png → 200 (?ms, 99B)
[2026-06-11T22:21:00.603Z] GET http://localhost:8799/flags/br/w40.png → 200 (?ms, 452B)
[2026-06-11T22:21:00.603Z] GET http://localhost:8799/flags/ar/w40.png → 200 (?ms, 214B)
[2026-06-11T22:21:00.611Z] GET http://localhost:8799/flags/au/w40.png → 200 (1ms, 393B)
[2026-06-11T22:21:00.618Z] GET http://localhost:8799/flags/py/w40.png → 200 (?ms, 182B)
[2026-06-11T22:21:00.618Z] GET http://localhost:8799/flags/tr/w40.png → 200 (?ms, 279B)
[2026-06-11T22:21:00.618Z] GET http://localhost:8799/flags/us/w40.png → 200 (?ms, 252B)
